8f66d910-172e-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 17:40:49;11;2022-08-09 17:40:49;96;2022-08-09 17:40:49;464;2022-08-09 17:40:49;39;2022-08-09 17:40:49;0;2022-08-09 17:40:49;43;2022-08-09 17:40:49;1;2022-08-09 17:40:49;28.8;2022-08-09 17:40:49;1577927431;2022-08-09 17:40:49;normal
;2022-08-09 17:45:49;11;2022-08-09 17:45:49;96;2022-08-09 17:45:49;475;2022-08-09 17:45:49;39;2022-08-09 17:45:49;0;2022-08-09 17:45:49;44;2022-08-09 17:45:49;1;2022-08-09 17:45:49;28.7;2022-08-09 17:45:49;1577927731;2022-08-09 17:45:49;normal
;2022-08-09 17:50:49;12;2022-08-09 17:50:49;96;2022-08-09 17:50:49;450;2022-08-09 17:50:49;39;2022-08-09 17:50:49;0;2022-08-09 17:50:49;43;2022-08-09 17:50:49;1;2022-08-09 17:50:49;28.7;2022-08-09 17:50:49;1577928031;2022-08-09 17:50:49;normal
;2022-08-09 17:55:49;11;2022-08-09 17:55:49;96;2022-08-09 17:55:49;459;2022-08-09 17:55:49;39;2022-08-09 17:55:49;0;2022-08-09 17:55:49;43;2022-08-09 17:55:49;1;2022-08-09 17:55:49;28.7;2022-08-09 17:55:49;1577928331;2022-08-09 17:55:49;normal
;2022-08-09 18:00:49;11;2022-08-09 18:00:49;96;2022-08-09 18:00:49;453;2022-08-09 18:00:49;39;2022-08-09 18:00:49;0;2022-08-09 18:00:49;43;2022-08-09 18:00:49;1;2022-08-09 18:00:49;28.7;2022-08-09 18:00:49;1577928631;2022-08-09 18:00:49;normal
;2022-08-09 18:05:49;12;2022-08-09 18:05:49;96;2022-08-09 18:05:49;461;2022-08-09 18:05:49;39;2022-08-09 18:05:49;0;2022-08-09 18:05:49;44;2022-08-09 18:05:49;1;2022-08-09 18:05:49;28.7;2022-08-09 18:05:49;1577928931;2022-08-09 18:05:49;normal
;2022-08-09 18:15:48;11;2022-08-09 18:15:48;96;2022-08-09 18:15:48;445;2022-08-09 18:15:48;39;2022-08-09 18:15:48;0;2022-08-09 18:15:48;44;2022-08-09 18:15:48;1;2022-08-09 18:15:48;28.7;2022-08-09 18:15:48;1577929299;2022-08-09 18:15:48;normal
;2022-08-09 18:15:51;11;2022-08-09 18:15:51;96;2022-08-09 18:15:51;452;2022-08-09 18:15:51;40;2022-08-09 18:15:51;0;2022-08-09 18:15:51;44;2022-08-09 18:15:51;1;2022-08-09 18:15:51;28.7;2022-08-09 18:15:51;1577929531;2022-08-09 18:15:51;normal
;2022-08-09 18:20:49;12;2022-08-09 18:20:49;96;2022-08-09 18:20:49;451;2022-08-09 18:20:49;40;2022-08-09 18:20:49;0;2022-08-09 18:20:49;44;2022-08-09 18:20:49;1;2022-08-09 18:20:49;28.7;2022-08-09 18:20:49;1577929831;2022-08-09 18:20:49;normal
;2022-08-09 18:25:49;11;2022-08-09 18:25:49;96;2022-08-09 18:25:49;456;2022-08-09 18:25:49;40;2022-08-09 18:25:49;0;2022-08-09 18:25:49;43;2022-08-09 18:25:49;1;2022-08-09 18:25:49;28.7;2022-08-09 18:25:49;1577930131;2022-08-09 18:25:49;normal
