c5f6b3c0-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 17:45:26;87;2022-08-09 17:45:26;96;2022-08-09 17:45:26;600;2022-08-09 17:45:26;40;2022-08-09 17:45:26;79;2022-08-09 17:45:26;46;2022-08-09 17:45:26;1;2022-08-09 17:45:26;29;2022-08-09 17:45:26;1577927731;2022-08-09 17:45:26;normal
;2022-08-09 17:50:27;89;2022-08-09 17:50:27;96;2022-08-09 17:50:27;610;2022-08-09 17:50:27;40;2022-08-09 17:50:27;69;2022-08-09 17:50:27;46;2022-08-09 17:50:27;1;2022-08-09 17:50:27;29;2022-08-09 17:50:27;1577928031;2022-08-09 17:50:27;normal
;2022-08-09 17:55:26;89;2022-08-09 17:55:26;96;2022-08-09 17:55:26;617;2022-08-09 17:55:26;40;2022-08-09 17:55:26;61;2022-08-09 17:55:26;46;2022-08-09 17:55:26;1;2022-08-09 17:55:26;29;2022-08-09 17:55:26;1577928331;2022-08-09 17:55:26;normal
;2022-08-09 18:00:27;89;2022-08-09 18:00:27;96;2022-08-09 18:00:27;597;2022-08-09 18:00:27;40;2022-08-09 18:00:27;58;2022-08-09 18:00:27;46;2022-08-09 18:00:27;1;2022-08-09 18:00:27;29;2022-08-09 18:00:27;1577928631;2022-08-09 18:00:27;normal
;2022-08-09 18:05:26;89;2022-08-09 18:05:26;96;2022-08-09 18:05:26;602;2022-08-09 18:05:26;40;2022-08-09 18:05:26;53;2022-08-09 18:05:26;46;2022-08-09 18:05:26;1;2022-08-09 18:05:26;29;2022-08-09 18:05:26;1577928931;2022-08-09 18:05:26;normal
;2022-08-09 18:10:26;89;2022-08-09 18:10:26;96;2022-08-09 18:10:26;615;2022-08-09 18:10:26;40;2022-08-09 18:10:26;53;2022-08-09 18:10:26;46;2022-08-09 18:10:26;1;2022-08-09 18:10:26;28.9;2022-08-09 18:10:26;1577929231;2022-08-09 18:10:26;normal
;2022-08-09 18:15:27;90;2022-08-09 18:15:27;96;2022-08-09 18:15:27;611;2022-08-09 18:15:27;40;2022-08-09 18:15:27;58;2022-08-09 18:15:27;46;2022-08-09 18:15:27;1;2022-08-09 18:15:27;28.9;2022-08-09 18:15:27;1577929531;2022-08-09 18:15:27;normal
;2022-08-09 18:20:26;89;2022-08-09 18:20:26;96;2022-08-09 18:20:26;603;2022-08-09 18:20:26;40;2022-08-09 18:20:26;58;2022-08-09 18:20:26;46;2022-08-09 18:20:26;1;2022-08-09 18:20:26;28.9;2022-08-09 18:20:26;1577929831;2022-08-09 18:20:26;normal
;2022-08-09 18:25:26;89;2022-08-09 18:25:26;96;2022-08-09 18:25:26;628;2022-08-09 18:25:26;40;2022-08-09 18:25:26;58;2022-08-09 18:25:26;46;2022-08-09 18:25:26;1;2022-08-09 18:25:26;28.9;2022-08-09 18:25:26;1577930131;2022-08-09 18:25:26;normal
;2022-08-09 18:30:26;89;2022-08-09 18:30:26;96;2022-08-09 18:30:26;617;2022-08-09 18:30:26;40;2022-08-09 18:30:26;58;2022-08-09 18:30:26;46;2022-08-09 18:30:26;1;2022-08-09 18:30:26;28.9;2022-08-09 18:30:26;1577930431;2022-08-09 18:30:26;normal
;2022-08-09 18:35:26;89;2022-08-09 18:35:26;96;2022-08-09 18:35:26;614;2022-08-09 18:35:26;40;2022-08-09 18:35:26;64;2022-08-09 18:35:26;46;2022-08-09 18:35:26;1;2022-08-09 18:35:26;28.8;2022-08-09 18:35:26;1577930731;2022-08-09 18:35:26;normal
;2022-08-09 18:40:26;89;2022-08-09 18:40:26;96;2022-08-09 18:40:26;604;2022-08-09 18:40:26;40;2022-08-09 18:40:26;71;2022-08-09 18:40:26;46;2022-08-09 18:40:26;1;2022-08-09 18:40:26;28.8;2022-08-09 18:40:26;1577931031;2022-08-09 18:40:26;normal
;2022-08-09 18:45:26;89;2022-08-09 18:45:26;96;2022-08-09 18:45:26;598;2022-08-09 18:45:26;40;2022-08-09 18:45:26;71;2022-08-09 18:45:26;46;2022-08-09 18:45:26;1;2022-08-09 18:45:26;28.9;2022-08-09 18:45:26;1577931331;2022-08-09 18:45:26;normal
;2022-08-09 18:50:26;89;2022-08-09 18:50:26;96;2022-08-09 18:50:26;600;2022-08-09 18:50:26;40;2022-08-09 18:50:26;71;2022-08-09 18:50:26;46;2022-08-09 18:50:26;1;2022-08-09 18:50:26;28.8;2022-08-09 18:50:26;1577931631;2022-08-09 18:50:26;normal
