edaae300-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 17:43:48;86;2022-08-09 17:43:48;96;2022-08-09 17:43:48;630;2022-08-09 17:43:48;37;2022-08-09 17:43:48;56;2022-08-09 17:43:48;45;2022-08-09 17:43:48;1;2022-08-09 17:43:48;29.6;2022-08-09 17:43:48;1577927729;2022-08-09 17:43:48;normal
;2022-08-09 17:48:48;86;2022-08-09 17:48:48;96;2022-08-09 17:48:48;646;2022-08-09 17:48:48;38;2022-08-09 17:48:48;48;2022-08-09 17:48:48;45;2022-08-09 17:48:48;1;2022-08-09 17:48:48;29.5;2022-08-09 17:48:48;1577928029;2022-08-09 17:48:48;normal
;2022-08-09 17:53:48;86;2022-08-09 17:53:48;96;2022-08-09 17:53:48;620;2022-08-09 17:53:48;38;2022-08-09 17:53:48;43;2022-08-09 17:53:48;45;2022-08-09 17:53:48;1;2022-08-09 17:53:48;29.5;2022-08-09 17:53:48;1577928329;2022-08-09 17:53:48;normal
;2022-08-09 18:03:48;87;2022-08-09 18:03:48;96;2022-08-09 18:03:48;629;2022-08-09 18:03:48;38;2022-08-09 18:03:48;43;2022-08-09 18:03:48;45;2022-08-09 18:03:48;1;2022-08-09 18:03:48;29.5;2022-08-09 18:03:48;1577928694;2022-08-09 18:03:48;normal
;2022-08-09 18:03:51;86;2022-08-09 18:03:51;96;2022-08-09 18:03:51;631;2022-08-09 18:03:51;38;2022-08-09 18:03:51;40;2022-08-09 18:03:51;50;2022-08-09 18:03:51;1;2022-08-09 18:03:51;29.5;2022-08-09 18:03:51;1577928929;2022-08-09 18:03:51;normal
;2022-08-09 18:08:48;86;2022-08-09 18:08:48;96;2022-08-09 18:08:48;628;2022-08-09 18:08:48;38;2022-08-09 18:08:48;40;2022-08-09 18:08:48;45;2022-08-09 18:08:48;1;2022-08-09 18:08:48;29.5;2022-08-09 18:08:48;1577929229;2022-08-09 18:08:48;normal
;2022-08-09 18:13:49;86;2022-08-09 18:13:49;96;2022-08-09 18:13:49;634;2022-08-09 18:13:49;38;2022-08-09 18:13:49;40;2022-08-09 18:13:49;45;2022-08-09 18:13:49;1;2022-08-09 18:13:49;29.5;2022-08-09 18:13:49;1577929529;2022-08-09 18:13:49;normal
;2022-08-09 18:18:48;86;2022-08-09 18:18:48;96;2022-08-09 18:18:48;632;2022-08-09 18:18:48;38;2022-08-09 18:18:48;43;2022-08-09 18:18:48;45;2022-08-09 18:18:48;1;2022-08-09 18:18:48;29.5;2022-08-09 18:18:48;1577929829;2022-08-09 18:18:48;normal
;2022-08-09 18:23:48;86;2022-08-09 18:23:48;96;2022-08-09 18:23:48;631;2022-08-09 18:23:48;38;2022-08-09 18:23:48;46;2022-08-09 18:23:48;45;2022-08-09 18:23:48;1;2022-08-09 18:23:48;29.5;2022-08-09 18:23:48;1577930129;2022-08-09 18:23:48;normal
;2022-08-09 18:28:49;86;2022-08-09 18:28:49;96;2022-08-09 18:28:49;638;2022-08-09 18:28:49;38;2022-08-09 18:28:49;46;2022-08-09 18:28:49;45;2022-08-09 18:28:49;1;2022-08-09 18:28:49;29.4;2022-08-09 18:28:49;1577930429;2022-08-09 18:28:49;normal
;2022-08-09 18:33:48;86;2022-08-09 18:33:48;96;2022-08-09 18:33:48;625;2022-08-09 18:33:48;38;2022-08-09 18:33:48;48;2022-08-09 18:33:48;46;2022-08-09 18:33:48;1;2022-08-09 18:33:48;29.5;2022-08-09 18:33:48;1577930729;2022-08-09 18:33:48;normal
;2022-08-09 18:38:48;86;2022-08-09 18:38:48;96;2022-08-09 18:38:48;632;2022-08-09 18:38:48;38;2022-08-09 18:38:48;56;2022-08-09 18:38:48;45;2022-08-09 18:38:48;1;2022-08-09 18:38:48;29.4;2022-08-09 18:38:48;1577931029;2022-08-09 18:38:48;normal
;2022-08-09 18:43:48;86;2022-08-09 18:43:48;96;2022-08-09 18:43:48;634;2022-08-09 18:43:48;38;2022-08-09 18:43:48;53;2022-08-09 18:43:48;45;2022-08-09 18:43:48;1;2022-08-09 18:43:48;29.4;2022-08-09 18:43:48;1577931329;2022-08-09 18:43:48;normal
;2022-08-09 18:48:48;86;2022-08-09 18:48:48;96;2022-08-09 18:48:48;616;2022-08-09 18:48:48;38;2022-08-09 18:48:48;53;2022-08-09 18:48:48;45;2022-08-09 18:48:48;1;2022-08-09 18:48:48;29.4;2022-08-09 18:48:48;1577931629;2022-08-09 18:48:48;normal
;2022-08-09 18:53:48;85;2022-08-09 18:53:48;96;2022-08-09 18:53:48;638;2022-08-09 18:53:48;38;2022-08-09 18:53:48;48;2022-08-09 18:53:48;45;2022-08-09 18:53:48;1;2022-08-09 18:53:48;29.4;2022-08-09 18:53:48;1577931929;2022-08-09 18:53:48;normal
;2022-08-09 18:58:48;86;2022-08-09 18:58:48;96;2022-08-09 18:58:48;638;2022-08-09 18:58:48;38;2022-08-09 18:58:48;48;2022-08-09 18:58:48;45;2022-08-09 18:58:48;1;2022-08-09 18:58:48;29.4;2022-08-09 18:58:48;1577932229;2022-08-09 18:58:48;normal
;2022-08-09 19:03:48;86;2022-08-09 19:03:48;96;2022-08-09 19:03:48;640;2022-08-09 19:03:48;38;2022-08-09 19:03:48;48;2022-08-09 19:03:48;45;2022-08-09 19:03:48;1;2022-08-09 19:03:48;29.4;2022-08-09 19:03:48;1577932529;2022-08-09 19:03:48;normal
;2022-08-09 19:08:48;86;2022-08-09 19:08:48;96;2022-08-09 19:08:48;640;2022-08-09 19:08:48;38;2022-08-09 19:08:48;46;2022-08-09 19:08:48;46;2022-08-09 19:08:48;1;2022-08-09 19:08:48;29.4;2022-08-09 19:08:48;1577932829;2022-08-09 19:08:48;normal
;2022-08-09 19:13:48;87;2022-08-09 19:13:48;96;2022-08-09 19:13:48;638;2022-08-09 19:13:48;38;2022-08-09 19:13:48;43;2022-08-09 19:13:48;45;2022-08-09 19:13:48;1;2022-08-09 19:13:48;29.4;2022-08-09 19:13:48;1577933129;2022-08-09 19:13:48;normal
