ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
2022-08-09 17:43:08;36;2022-08-09 17:43:08;96;2022-08-09 17:43:08;491;2022-08-09 17:43:08;41;2022-08-09 17:43:08;10;2022-08-09 17:43:08;45;2022-08-09 17:43:08;1;2022-08-09 17:43:08;28.6;2022-08-09 17:43:08;1577928032;2022-08-09 17:43:08;normal
2022-08-09 17:48:08;36;2022-08-09 17:48:08;96;2022-08-09 17:48:08;477;2022-08-09 17:48:08;41;2022-08-09 17:48:08;10;2022-08-09 17:48:08;46;2022-08-09 17:48:08;1;2022-08-09 17:48:08;28.7;2022-08-09 17:48:08;1577928332;2022-08-09 17:48:08;normal
2022-08-09 17:53:08;37;2022-08-09 17:53:08;96;2022-08-09 17:53:08;498;2022-08-09 17:53:08;41;2022-08-09 17:53:08;7;2022-08-09 17:53:08;45;2022-08-09 17:53:08;1;2022-08-09 17:53:08;28.6;2022-08-09 17:53:08;1577928632;2022-08-09 17:53:08;normal
2022-08-09 17:58:08;36;2022-08-09 17:58:08;96;2022-08-09 17:58:08;486;2022-08-09 17:58:08;41;2022-08-09 17:58:08;7;2022-08-09 17:58:08;45;2022-08-09 17:58:08;1;2022-08-09 17:58:08;28.6;2022-08-09 17:58:08;1577928932;2022-08-09 17:58:08;normal
2022-08-09 18:03:09;37;2022-08-09 18:03:09;96;2022-08-09 18:03:09;485;2022-08-09 18:03:09;42;2022-08-09 18:03:09;7;2022-08-09 18:03:09;45;2022-08-09 18:03:09;1;2022-08-09 18:03:09;28.6;2022-08-09 18:03:09;1577929232;2022-08-09 18:03:09;normal
2022-08-09 18:08:09;36;2022-08-09 18:08:09;96;2022-08-09 18:08:09;494;2022-08-09 18:08:09;42;2022-08-09 18:08:09;7;2022-08-09 18:08:09;45;2022-08-09 18:08:09;1;2022-08-09 18:08:09;28.6;2022-08-09 18:08:09;1577929532;2022-08-09 18:08:09;normal
2022-08-09 18:13:08;36;2022-08-09 18:13:08;96;2022-08-09 18:13:08;500;2022-08-09 18:13:08;42;2022-08-09 18:13:08;7;2022-08-09 18:13:08;45;2022-08-09 18:13:08;1;2022-08-09 18:13:08;28.5;2022-08-09 18:13:08;1577929832;2022-08-09 18:13:08;normal
2022-08-09 18:18:08;36;2022-08-09 18:18:08;96;2022-08-09 18:18:08;493;2022-08-09 18:18:08;42;2022-08-09 18:18:08;7;2022-08-09 18:18:08;46;2022-08-09 18:18:08;1;2022-08-09 18:18:08;28.5;2022-08-09 18:18:08;1577930132;2022-08-09 18:18:08;normal
2022-08-09 18:23:08;36;2022-08-09 18:23:08;96;2022-08-09 18:23:08;494;2022-08-09 18:23:08;42;2022-08-09 18:23:08;10;2022-08-09 18:23:08;46;2022-08-09 18:23:08;1;2022-08-09 18:23:08;28.5;2022-08-09 18:23:08;1577930432;2022-08-09 18:23:08;normal
2022-08-09 18:28:08;36;2022-08-09 18:28:08;96;2022-08-09 18:28:08;488;2022-08-09 18:28:08;42;2022-08-09 18:28:08;10;2022-08-09 18:28:08;46;2022-08-09 18:28:08;1;2022-08-09 18:28:08;28.5;2022-08-09 18:28:08;1577930732;2022-08-09 18:28:08;normal
2022-08-09 18:33:09;36;2022-08-09 18:33:09;96;2022-08-09 18:33:09;499;2022-08-09 18:33:09;42;2022-08-09 18:33:09;10;2022-08-09 18:33:09;46;2022-08-09 18:33:09;1;2022-08-09 18:33:09;28.5;2022-08-09 18:33:09;1577931032;2022-08-09 18:33:09;normal
2022-08-09 18:38:09;36;2022-08-09 18:38:09;96;2022-08-09 18:38:09;484;2022-08-09 18:38:09;42;2022-08-09 18:38:09;12;2022-08-09 18:38:09;46;2022-08-09 18:38:09;1;2022-08-09 18:38:09;28.5;2022-08-09 18:38:09;1577931332;2022-08-09 18:38:09;normal
2022-08-09 18:43:08;37;2022-08-09 18:43:08;96;2022-08-09 18:43:08;487;2022-08-09 18:43:08;41;2022-08-09 18:43:08;12;2022-08-09 18:43:08;46;2022-08-09 18:43:08;1;2022-08-09 18:43:08;28.5;2022-08-09 18:43:08;1577931632;2022-08-09 18:43:08;normal
2022-08-09 18:48:08;36;2022-08-09 18:48:08;96;2022-08-09 18:48:08;497;2022-08-09 18:48:08;42;2022-08-09 18:48:08;12;2022-08-09 18:48:08;46;2022-08-09 18:48:08;1;2022-08-09 18:48:08;28.5;2022-08-09 18:48:08;1577931932;2022-08-09 18:48:08;normal
